R1_PWRUSB	65.62	22.78	90.00	100K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2	68.50	6.66	90.00	2.2	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH	147.43	4.55	90.00	10k	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1	89.60	64.01	0.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB	145.16	54.49	90.00	5k1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1	151.23	54.35	90.00	5k1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT	124.00	36.68	90.00	2K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R3	112.38	58.81	0.00	0.47	ESP32_WROVER_EAGLE-LTSPICE_R0402
R4	95.92	56.17	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R5	130.63	62.38	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R6	69.01	10.53	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R7	63.94	9.47	180.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R8	67.61	22.78	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R9	8.72	101.48	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON	23.77	108.28	180.00	BUTTON_CUSYOMV1	MYBUTTON
R_BOOT	60.25	107.21	268.90	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR	96.44	52.05	90.00	15	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE	52.68	107.67	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1	76.14	17.72	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET	19.34	107.53	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2	153.73	11.96	90.00	BME688	ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1	62.84	6.43	0.00		SJ
TP1	28.91	6.60	0.00	TPTP20R	TP20R
TP10	7.24	46.77	0.00	TPTP20R	TP20R
TP11	7.18	43.87	0.00	TPTP20R	TP20R
TP12	73.69	105.89	0.00	TPTP20R	TP20R
TP13	139.04	60.67	0.00	TPTP20R	TP20R
TP14	84.49	106.09	0.00	TPTP20R	TP20R
TP15	7.22	39.98	0.00	TPTP20R	TP20R
TP16	79.02	105.69	0.00	TPTP20R	TP20R
TP17	7.19	36.09	0.00	TPTP20R	TP20R
TP2	23.83	6.60	0.00	TPTP20R	TP20R
TP3	18.75	6.60	0.00	TPTP20R	TP20R
TP4	13.67	6.60	0.00	TPTP20R	TP20R
TP5	8.59	6.60	0.00	TPTP20R	TP20R
TP6	3.51	6.60	0.00	TPTP20R	TP20R
TP7	54.00	65.99	0.00	TPTP20R	TP20R
TP8	7.46	49.77	0.00	TPTP20R	TP20R
TP9	139.30	64.34	0.00	TPTP20R	TP20R
U1	41.13	63.71	0.00	W25Q512JVEIQ	SON127P600X800X80-9N
U2	15.53	62.56	90.00	ESP32-C6-WROOM-1-N8	XCVR_ESP32-C6-WROOM-1-N8
U3	87.09	56.61	90.00	DS3231SN#	SOIC127P1032X265-16N
U4	134.37	58.00	0.00	MAX17048G+T10	SON50P200X200X80-9N
